customer_id,name,email,phone,address,country
93810,Patrick Sanchez,jillrhodes@example.net,296-500-1338,"79402 Peterson Drives Apt. 511 Davisstad, PA 35172",Sri Lanka
15695,Kimberly Dudley,smiller@example.net,+1-659-931-0341x316,"55341 Amanda Gardens Apt. 764 Lake Mark, WI 07832",Denmark
14207,Jennifer Jones,jason76@example.net,724.523.8849x696,"Unit 2871 Box 0122
DPO AP 55834",Nepal
18326,Kyle Mcdonald,tasha01@example.net,+1-645-414-6270,"489 Eric Track
New Stephanie, NC 00575",Netherlands Antilles
52487,Brian Cox DVM,john39@example.org,671-882-2782,"Unit 8346 Box 5787
DPO AE 32994",Czech Republic
18392,Kevin Hall,adrianzimmerman@example.org,510.451.8347,"76311 Gomez Loop Suite 010
Chandlerville, IA 25613",Comoros
80292,Javier Ramirez,nancyjones@example.net,908-501-3267,"60647 Henderson Street
Mooreport, IL 08166",Mozambique
81066,Erik Williams,hshaw@example.org,3815219136,"169 Donovan Ford
Johnfurt, DC 88540",Oman
49321,Timothy Walls,ellisyolanda@example.org,783-684-2513,"808 Huynh Cove Apt. 411
West Juan, IL 94559",Guam
36685,Sarah Wagner,rebecca01@example.net,(340)405-2427x86801,"826 Bobby Lakes Apt. 533
West Kimberlychester, RI 98736",Cape Verde
41029,Vanessa Cochran,vjohnson@example.com,(534)221-6073x37543,"4145 Frazier Ville Suite 014
New Sydney, KS 05515",Botswana
88193,Nicholas Edwards,cruzbarbara@example.com,7607883561,"484 Nguyen Square
Angelaborough, MT 87654",Wallis and Futuna
59695,Stephanie Gilbert,richard04@example.com,969.495.7773,"951 Emily Fork Apt. 200
South Cheryl, WI 10046",Korea
64321,Laura Higgins,psnyder@example.org,+1-401-963-2870x8317,"9868 Merritt Summit Suite 743
Katiehaven, NM 82650",Dominican Republic
45992,Micheal Young,luis81@example.org,(936)823-1665,"9096 Smith Knoll Suite 668
South Jeffrey, NE 64155",Antarctica (the territory South of 60 deg S)
60968,Michael Powell,marycalhoun@example.net,+1-906-499-0162,"3755 Ramirez Village Suite 417
Lake Amberstad, IN 85716",Bangladesh
95426,Andre Wright,howelljohn@example.com,+1-219-637-4529x91241,"3193 Heidi Hollow Apt. 905
Stanleyland, NY 85375",Guam
11658,Samantha Garcia,cynthia72@example.com,(684)798-7769,"7379 Rogers Park
Hunterborough, MI 34363",Guam
46655,Meredith Hill,blackjames@example.org,001-567-683-7770x1436,"8856 Bell Motorway Suite 443
Lake Jamesville, WA 70737",Zambia
34267,Parker Hill,tina34@example.org,(924)308-2400x842,"7752 Johnny Wall Suite 116
Joneston, FL 20056",Sudan
83772,Angela Wright,yobrien@example.net,286.377.4964,"USNS Garrett
FPO AA 87064",Belgium
30585,Juan Moore,mhayes@example.com,503-444-7134x9361,"PSC 2102, Box 4994
APO AA 16800",Lao People's Democratic Republic
49857,Terri Mason,mkim@example.org,(959)940-1399x04902,"PSC 2967, Box 1756
APO AA 42582",Paraguay
23710,Erin Steele,elaine68@example.org,215.545.1680x876,"703 Dunn Heights Suite 710
Lake Eric, OH 02293",Micronesia
63476,Willie Durham,pvalentine@example.org,448.346.7737x8263,"8404 Monroe Prairie Suite 278
Reedside, WV 71729",Honduras
69682,Sheila Pollard,ashleyhall@example.com,7573662702,"87026 Charles Tunnel Suite 596
Port Markside, MS 42006",Niue
73956,Amanda Jones,wendy16@example.org,001-517-824-0050x45562,"21969 Tyler Prairie
East Steven, KS 60737",Equatorial Guinea
97404,Robert Santana,charleslandry@example.net,664-674-3671x3695,"0909 Wall Heights Apt. 953
New John, WV 94994",Seychelles
96400,Breanna Davis,parkerscott@example.net,(621)445-6232x858,"5171 Karen Fork Suite 851
Smithside, DE 60110",Heard Island and McDonald Islands
98188,Deborah James,daniel37@example.org,+1-285-693-1746x120,"Unit 1138 Box 2675
DPO AP 97905",Qatar
80804,Patrick Moore,fpena@example.net,(840)653-7735x15850,"1390 Kristin Gardens
Port Anne, CA 73142",Cote d'Ivoire
86858,Sergio Murphy,kristinacarlson@example.com,(728)542-1020,"40268 Julie Mountains
Stricklandhaven, OR 14794",Korea
76039,Luis Acosta,stephen00@example.com,(761)877-1159x2124,"Unit 8478 Box 9611
DPO AP 85817",Turkey
82264,Cindy Hayes,robertwilcox@example.com,(315)765-4527x11116,"885 Robert Well
Parrishton, LA 79197",Georgia
56090,Jordan Moore,gwalker@example.com,+1-251-649-3689,"455 Howard Divide Suite 120
Lake Alyssafurt, MT 59961",Guam
30631,Nathan Frank,wareeric@example.net,6145767976,"6149 Rose Inlet
East Randallton, AL 27295",Gabon
37686,Pamela Roberts,smithjulie@example.org,(268)838-8516,"9696 Roberts Lodge
West Georgemouth, MP 90889",Uruguay
57428,Ryan Sanchez,zwarren@example.com,001-453-552-1818x8355,"29212 Marshall Port Suite 995
Edwardland, NJ 58462",Norfolk Island
49691,Leslie Bell,collinsshannon@example.org,(941)519-9867x980,"207 Lisa Villages Suite 182
East Jasminemouth, NC 69018",New Zealand
30807,Thomas Hughes,erika05@example.org,818-464-4925x19254,"8652 Debbie Manors
Andrewport, HI 28575",Guam
73736,Zachary Moore,megan18@example.net,001-980-259-2962x2292,"9473 Kyle Valleys
Mckeeborough, MN 89408",Yemen
